"Supplier","Product Name"," Name","Type of Furnature","On or Off in Inventory","Description","Parameters / Features","Max % AOJ","FFE Option","Max Qty","Price","Daily PMT","Aggregate Gross","Aggregate Net","Other"
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","",""," $ 250,000,000 ","",""
"","OIP-SS","Sample Name","Furnature","Off","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","",""," $ 250,000,000 ","",""
"","WENDI","Sample Name","Electronic","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","",""," $ 250,000,000 ","",""
"","ADA-221","Sample Name","Appliance","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","",""," $ 250,000,000 ","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","15%","10%","  250,000 "," $ 10,000,000 ",""," $ 250,000,000 ","",""
"","EADSS","Sample Name","Furnature","Off","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","",""," $ 250,000,000 ","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","Shares: 5000%
ETF: 50%","20%","Shares: 1,500,000
ETF: 1,000,000"," $ 50,000,000 ",""," $ 250,000,000 ","",""
"","WENDI","Sample Name","Appliance","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","",""," $ 250,000,000 ","",""
"","ADA-221","Sample Name","Appliance","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","",""," $ 250,000,000 ","",""
"","AES","Sample Name","Furnature","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","",""," $ 250,000,000 ","",""
"","EADSS","Sample Name","Electronic","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","",""," $ 250,000,000 ","",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","",""," $ 250,000,000 ","",""
"","WENDI","Sample Name","Appliance","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","",""," $ 250,000,000 ","",""
"Prillo Furniture","ADA-221","Sample Name","Furnature","Off"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","AES","Sample Name","Electronic","Off","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","WENDI","Sample Name","Furnature","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","
","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","OIP-SS","Sample Name","Furnature","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","ADA-221","Sample Name","Appliance","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","  250,000 "," $ 20,000,000 ",""," $ 400,000,000 "," $ 100,000,000 ",""
"","EADSS","Sample Name","Furnature","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","Small/Mid Cap: >15%
Large Cap: >10%
Small Cap: >20%
Mid Cap: >5%","","Small/Mid Cap: 250,000
Large Cap: 250,000
Small Cap: 50,000
Mid Cap: 50,000","Small/Mid Cap: $15m
Large Cap: $15m
Small Cap: $100k
Mid Cap: $100k","","","",""
"Ashley Furniture Home Stores","WENDI","Sample Name","Appliance","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","ADA-221","Sample Name","Appliance","Off"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","AES","Sample Name","Furnature","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","EADSS","Sample Name","Electronic","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","WENDI","Sample Name","Appliance","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","ADA-221","Sample Name","Furnature","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","AES","Sample Name","Electronic","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","Limit Orders: 9.9%
Market Orders: No protection","Canada: 500,000
U.S.: No limit","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","Limit Orders: 9.9%
Market Orders: No protection","","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","WENDI","Sample Name","Furnature","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","Limit Orders: 9.9%
Market Orders: No protection","","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","Limit Orders: 9.9%
Market Orders: No protection","","Canada: $40m
U.S.: Stock specific","Canada: $ 200m
U.S.: $ 100m
Will call at 50% threshold","","",""
"IKEA","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","10%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","110%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","OIP-SS","Sample Name","Furnature","Off","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","10%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","10%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","ADA-221","Sample Name","Appliance","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","10%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","10%","5%","  100,000 "," $ 25,000,000 ","","","",""
"","EADSS","Sample Name","Furnature","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","10%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","10%","5%","  1,000,000 "," $ 50,000,000 ","","","",""
"","WENDI","Sample Name","Appliance","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Appliance","Off"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Furnature","Off","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Electronic","Off","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Appliance","Off","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Appliance","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Furnature","Off"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Electronic","Off","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Appliance","Off","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Appliance","Off","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Furnature","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"Rooms to Go","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","OIP-SS","Sample Name","Furnature","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","ADA-221","Sample Name","Appliance","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","EADSS","Sample Name","Furnature","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","a. 2.9% >$50
b. 4.9% >$25
c. 9.9% Otherwise
","  1,000,000 "," $ 30,000,000 "," $ 100,000,000 ","","",""
